,Date,Close,Open,High,Low,Volume,Var%
2446,2018-11-26,3292.46,3317.19,3362.64,3267.68,0,"-0,73%"
2447,2018-11-27,3371.86,3292.46,3374.32,3291.67,0,"2,41%"
2448,2018-11-28,3413.15,3371.73,3417.12,3356.78,0,"1,22%"
2449,2018-11-29,3420.22,3412.85,3424.92,3384.41,0,"0,21%"
2450,2018-11-30,3405.03,3420.16,3423.27,3389.35,0,"-0,44%"
2451,2018-12-03,3419.36,3405.48,3451.35,3405.48,0,"0,42%"
2452,2018-12-04,3375.82,3419.47,3434.31,3361.43,0,"-1,27%"
2453,2018-12-05,3406.87,3375.77,3406.87,3375.72,0,"0,92%"
2454,2018-12-06,3419.75,3406.78,3422.70,3363.93,0,"0,38%"
2455,2018-12-07,3376.26,3419.99,3431.88,3369.30,0,"-1,27%"
2456,2018-12-10,3312.27,3376.25,3387.02,3310.22,0,"-1,90%"
2457,2018-12-11,3339.21,3312.46,3377.29,3309.95,0,"0,81%"
2458,2018-12-12,3373.15,3339.27,3401.73,3339.27,0,"1,02%"
2459,2018-12-13,3398.93,3373.15,3410.45,3373.15,0,"0,76%"
2460,2018-12-14,3385.27,3398.93,3419.24,3376.00,0,"-0,40%"
2461,2018-12-17,3348.49,3385.22,3389.11,3341.04,0,"-1,09%"
2462,2018-12-18,3355.20,3348.43,3374.92,3348.43,0,"0,20%"
2463,2018-12-19,3323.38,3355.37,3399.12,3323.38,0,"-0,95%"
2464,2018-12-20,3327.04,3324.16,3359.87,3296.18,0,"0,11%"
2465,2018-12-21,3364.62,3326.99,3380.16,3321.31,0,"1,13%"
2466,2018-12-26,3318.18,3364.62,3364.62,3309.42,0,"-1,38%"
2467,2018-12-27,3330.94,3318.30,3340.06,3312.29,0,"0,38%"
2468,2018-12-28,3399.97,3331.66,3404.15,3331.66,0,"2,07%"
2469,2019-01-02,3495.31,3399.96,3505.20,3394.20,0,"2,80%"
2470,2019-01-03,3501.68,3495.25,3501.86,3452.11,0,"0,18%"
2471,2019-01-04,3486.63,3501.70,3513.90,3457.56,0,"-0,43%"
2472,2019-01-07,3456.53,3486.58,3497.27,3440.91,0,"-0,86%"
2473,2019-01-08,3467.74,3456.58,3486.26,3456.58,0,"0,32%"
2474,2019-01-09,3534.18,3468.29,3542.86,3468.21,0,"1,92%"
2475,2019-01-10,3577.23,3534.07,3579.99,3532.54,0,"1,22%"
2476,2019-01-11,3598.62,3577.28,3601.12,3574.78,0,"0,60%"
2477,2019-01-14,3631.09,3596.51,3639.23,3592.88,0,"0,90%"
2478,2019-01-15,3629.94,3631.12,3651.28,3616.88,0,"-0,03%"
2479,2019-01-16,3649.10,3630.09,3649.11,3624.95,0,"0,53%"
2480,2019-01-17,3701.66,3649.10,3716.72,3635.54,0,"1,44%"
2481,2019-01-18,3720.58,3702.17,3721.41,3699.05,0,"0,51%"
2482,2019-01-21,3709.09,3720.59,3720.59,3670.66,0,"-0,31%"
2483,2019-01-22,3654.22,3709.31,3720.12,3638.40,0,"-1,48%"
2484,2019-01-23,3698.32,3654.62,3706.02,3654.62,0,"1,21%"
2485,2019-01-24,3748.20,3698.32,3748.20,3698.32,0,"1,35%"
2486,2019-01-28,3804.76,3747.65,3808.50,3720.94,0,"1,51%"
2487,2019-01-29,3805.24,3805.53,3838.39,3803.46,0,"0,01%"
2488,2019-01-30,3850.00,3805.26,3850.00,3800.29,0,"1,18%"
2489,2019-01-31,3818.38,3850.05,3867.16,3818.38,0,"-0,82%"
2490,2019-02-01,3835.48,3818.37,3843.97,3805.39,0,"0,45%"
2491,2019-02-04,3861.87,3835.51,3864.15,3806.69,0,"0,69%"
2492,2019-02-05,3866.26,3861.73,3878.68,3846.60,0,"0,11%"
2493,2019-02-06,3731.84,3866.19,3866.19,3731.84,0,"-3,48%"
2494,2019-02-07,3747.76,3731.84,3766.71,3713.48,0,"0,43%"
2495,2019-02-08,3745.07,3747.63,3760.80,3691.55,0,"-0,07%"
2496,2019-02-11,3745.22,3745.10,3752.75,3705.29,0,"0,00%"
2497,2019-02-12,3767.29,3746.34,3786.78,3746.01,0,"0,59%"
2498,2019-02-13,3728.04,3767.52,3788.45,3707.14,0,"-1,04%"
2499,2019-02-14,3787.94,3728.07,3791.48,3681.85,0,"1,61%"
2500,2019-02-15,3758.05,3788.17,3788.70,3746.61,0,"-0,79%"
2501,2019-02-18,3747.02,3758.09,3758.09,3718.91,0,"-0,29%"
2502,2019-02-19,3766.68,3747.30,3776.43,3747.30,0,"0,52%"
