,Unnamed: 0,Date,Close,Open,High,Low,Volume,Var%,Var
3262,3262,2018-03-26,9555.0,9483.5,9623.77,9471.9,0,"0,76%",0.0076201604679226875
3263,3263,2018-03-27,9446.35,9561.49,9597.54,9400.99,0,"-1,14%",-0.011371009983122349
3264,3264,2018-03-28,9519.88,9446.35,9519.88,9365.1,0,"0,78%",0.007783958688378334
3265,3265,2018-03-29,9678.91,9521.67,9738.04,9521.67,0,"1,67%",0.016705041751265526
3266,3266,2018-04-02,9577.31,9678.91,9699.82,9516.85,0,"-1,05%",-0.010497049428522587
3267,3267,2018-04-03,9559.53,9578.03,9681.15,9514.68,0,"-0,19%",-0.0018564711790531874
3268,3268,2018-04-04,9537.02,9559.5,9559.5,9342.28,0,"-0,24%",-0.002354718279093504
3269,3269,2018-04-05,9613.03,9538.58,9756.47,9538.58,0,"0,80%",0.007969995029270649
3270,3270,2018-04-06,9580.22,9613.03,9620.49,9459.33,0,"-0,34%",-0.003413075814023614
3271,3271,2018-04-09,9356.33,9580.86,9599.28,9332.91,0,"-2,34%",-0.023370027542114258
3272,3272,2018-04-10,9359.56,9356.26,9446.79,9271.82,0,"0,03%",0.0003452208184171468
3273,3273,2018-04-11,9459.77,9360.94,9474.44,9340.93,0,"1,07%",0.010706699453294277
3274,3274,2018-04-12,9469.62,9462.06,9490.41,9417.68,0,"0,10%",0.001041251583956182
3275,3275,2018-04-13,9258.98,9468.61,9468.7,9245.64,0,"-2,22%",-0.022243764251470566
3276,3276,2018-04-16,9048.42,9258.73,9312.42,9034.42,0,"-2,27%",-0.0227411650121212
3277,3277,2018-04-17,9181.83,9048.46,9200.06,9036.45,0,"1,47%",0.014744010753929615
3278,3278,2018-04-18,9394.39,9183.1,9439.29,9183.1,0,"2,32%",0.023150069639086723
3279,3279,2018-04-19,9341.23,9394.87,9394.87,9273.83,0,"-0,57%",-0.0056586964055895805
3280,3280,2018-04-20,9267.46,9341.28,9342.41,9222.7,0,"-0,79%",-0.00789724662899971
3281,3281,2018-04-23,9251.18,9266.52,9268.13,9148.34,0,"-0,18%",-0.0017566841561347246
3282,3282,2018-04-24,9216.42,9252.35,9357.25,9175.24,0,"-0,38%",-0.003757358528673649
3283,3283,2018-04-25,9236.56,9217.17,9253.99,9103.84,0,"0,22%",0.002185230376198888
3284,3284,2018-04-26,9376.66,9236.99,9378.85,9236.99,0,"1,52%",0.015167984180152416
3285,3285,2018-04-27,9390.5,9380.05,9458.47,9342.78,0,"0,15%",0.001476005301810801
3286,3286,2018-04-30,9279.86,9390.08,9417.97,9255.99,0,"-1,18%",-0.011782119981944561
3287,3287,2018-05-02,9005.95,9279.83,9279.85,8986.06,0,"-2,95%",-0.029516609385609627
3288,3288,2018-05-03,8805.68,9005.95,9010.55,8800.38,0,"-2,22%",-0.022237520664930344
3289,3289,2018-05-04,8721.94,8804.03,8817.58,8694.6,0,"-0,95%",-0.009509771130979061
3290,3290,2018-05-07,8698.77,8721.94,8795.87,8675.22,0,"-0,27%",-0.002656519180163741
3291,3291,2018-05-08,8745.18,8699.46,8802.73,8643.28,0,"0,53%",0.0053352368995547295
3292,3292,2018-05-09,8824.93,8749.83,8845.19,8703.78,0,"0,91%",0.009119309484958649
3293,3293,2018-05-10,8972.41,8832.55,8995.44,8832.55,0,"1,67%",0.016711747273802757
3294,3294,2018-05-11,8824.01,8971.48,8981.94,8814.42,0,"-1,65%",-0.016539592295885086
3295,3295,2018-05-14,8684.35,8828.24,8875.31,8634.38,0,"-1,58%",-0.015827272087335587
3296,3296,2018-05-15,8571.61,8684.18,8684.59,8462.62,0,"-1,30%",-0.012981973588466644
3297,3297,2018-05-16,8694.11,8572.11,8749.25,8551.56,0,"1,43%",0.014291363768279552
3298,3298,2018-05-17,8318.19,8694.11,8697.22,8312.11,0,"-4,32%",-0.04323846846818924
3299,3299,2018-05-18,8296.63,8318.19,8318.86,8080.88,0,"-0,26%",-0.002591910073533654
3300,3300,2018-05-21,8194.15,8297.78,8399.14,8147.87,0,"-1,24%",-0.012352002784609795
3301,3301,2018-05-22,8440.92,8194.12,8508.99,8194.12,0,"3,01%",0.030115386471152306
3302,3302,2018-05-23,8245.71,8440.99,8440.99,8244.77,0,"-2,31%",-0.023126626387238503
3303,3303,2018-05-24,8256.7,8244.93,8263.5,8094.74,0,"0,13%",0.0013328142231330276
3304,3304,2018-05-25,8122.8,8257.04,8316.06,8078.51,0,"-1,62%",-0.016217133030295372
3305,3305,2018-05-28,7807.23,8112.12,8115.43,7793.92,0,"-3,88%",-0.038849905133247375
3306,3306,2018-05-29,7804.07,7807.93,7978.44,7756.15,0,"-0,04%",-0.0004047530237585306
3307,3307,2018-05-30,7931.81,7799.77,7931.81,7774.61,0,"1,64%",0.016368381679058075
3308,3308,2018-06-01,8086.04,7942.42,8110.29,7865.05,0,"1,94%",0.01944448985159397
3309,3309,2018-06-04,8219.36,8086.44,8238.07,8086.44,0,"1,65%",0.01648767478764057
3310,3310,2018-06-05,7887.91,8219.32,8219.74,7834.58,0,"-4,03%",-0.04032552242279053
3311,3311,2018-06-06,7706.52,7887.91,7892.78,7645.49,0,"-2,30%",-0.022995952516794205
